EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,BUY_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,SM_UPPER_LIMIT,SM_LOWER_LIMIT,Unnamed: 31
NSE,D,55091,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27000-PE,NIFTY 13 APR 27000 PUT,OP,,65.0,2026-04-13,27000.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,4850.45,3650.65,
NSE,D,55092,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27050-CE,NIFTY 13 APR 27050 CALL,OP,,65.0,2026-04-13,27050.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55093,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27050-PE,NIFTY 13 APR 27050 PUT,OP,,65.0,2026-04-13,27050.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,4900.4,3700.6,
NSE,D,55100,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27100-CE,NIFTY 13 APR 27100 CALL,OP,,65.0,2026-04-13,27100.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55101,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27100-PE,NIFTY 13 APR 27100 PUT,OP,,65.0,2026-04-13,27100.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,4950.3,3750.5,
NSE,D,55102,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27150-CE,NIFTY 13 APR 27150 CALL,OP,,65.0,2026-04-13,27150.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55103,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27150-PE,NIFTY 13 APR 27150 PUT,OP,,65.0,2026-04-13,27150.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5000.25,3800.45,
NSE,D,55108,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27200-CE,NIFTY 13 APR 27200 CALL,OP,,65.0,2026-04-13,27200.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55109,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27200-PE,NIFTY 13 APR 27200 PUT,OP,,65.0,2026-04-13,27200.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5050.2,3850.4,
NSE,D,55110,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27250-CE,NIFTY 13 APR 27250 CALL,OP,,65.0,2026-04-13,27250.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55111,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27250-PE,NIFTY 13 APR 27250 PUT,OP,,65.0,2026-04-13,27250.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5100.1,3900.3,
NSE,D,55112,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27300-CE,NIFTY 13 APR 27300 CALL,OP,,65.0,2026-04-13,27300.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55113,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27300-PE,NIFTY 13 APR 27300 PUT,OP,,65.0,2026-04-13,27300.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5150.05,3950.25,
NSE,D,55114,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27350-CE,NIFTY 13 APR 27350 CALL,OP,,65.0,2026-04-13,27350.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55115,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27350-PE,NIFTY 13 APR 27350 PUT,OP,,65.0,2026-04-13,27350.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5200.0,4000.2,
NSE,D,55121,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27400-CE,NIFTY 13 APR 27400 CALL,OP,,65.0,2026-04-13,27400.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
