SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,35026,OPTIDX,0,BANKNIFTY-Jun2026-65900-CE,30.0,BANKNIFTY 30 JUN 65900 CALL,2026-06-30 14:30:00,65900.0,CE,5.0,M,OP,,
NSE,D,35027,OPTIDX,0,BANKNIFTY-Jun2026-65900-PE,30.0,BANKNIFTY 30 JUN 65900 PUT,2026-06-30 14:30:00,65900.0,PE,5.0,M,OP,,
NSE,D,35028,OPTIDX,0,BANKNIFTY-Sep2026-78000-CE,30.0,BANKNIFTY 29 SEP 78000 CALL,2026-09-29 14:30:00,78000.0,CE,5.0,M,OP,,
NSE,D,35029,OPTIDX,0,BANKNIFTY-Sep2026-78000-PE,30.0,BANKNIFTY 29 SEP 78000 PUT,2026-09-29 14:30:00,78000.0,PE,5.0,M,OP,,
NSE,D,35030,OPTIDX,0,MIDCPNIFTY-May2026-15775-CE,120.0,MIDCPNIFTY 26 MAY 15775 CALL,2026-05-26 14:30:00,15775.0,CE,5.0,M,OP,,
NSE,D,35031,OPTIDX,0,MIDCPNIFTY-May2026-15775-PE,120.0,MIDCPNIFTY 26 MAY 15775 PUT,2026-05-26 14:30:00,15775.0,PE,5.0,M,OP,,
NSE,D,35032,OPTIDX,0,MIDCPNIFTY-May2026-18000-CE,120.0,MIDCPNIFTY 26 MAY 18000 CALL,2026-05-26 14:30:00,18000.0,CE,5.0,M,OP,,
NSE,D,35033,OPTIDX,0,MIDCPNIFTY-May2026-18000-PE,120.0,MIDCPNIFTY 26 MAY 18000 PUT,2026-05-26 14:30:00,18000.0,PE,5.0,M,OP,,
NSE,D,35034,OPTIDX,0,MIDCPNIFTY-May2026-18100-CE,120.0,MIDCPNIFTY 26 MAY 18100 CALL,2026-05-26 14:30:00,18100.0,CE,5.0,M,OP,,
NSE,D,35035,OPTIDX,0,MIDCPNIFTY-May2026-18100-PE,120.0,MIDCPNIFTY 26 MAY 18100 PUT,2026-05-26 14:30:00,18100.0,PE,5.0,M,OP,,
NSE,D,35036,OPTIDX,0,NIFTY-May2026-30700-CE,65.0,NIFTY 26 MAY 30700 CALL,2026-05-26 14:30:00,30700.0,CE,5.0,M,OP,,
NSE,D,35037,OPTIDX,0,NIFTY-May2026-30700-PE,65.0,NIFTY 26 MAY 30700 PUT,2026-05-26 14:30:00,30700.0,PE,5.0,M,OP,,
NSE,D,35038,OPTIDX,0,NIFTY-May2026-30750-CE,65.0,NIFTY 26 MAY 30750 CALL,2026-05-26 14:30:00,30750.0,CE,5.0,M,OP,,
NSE,D,35039,OPTIDX,0,NIFTY-May2026-30750-PE,65.0,NIFTY 26 MAY 30750 PUT,2026-05-26 14:30:00,30750.0,PE,5.0,M,OP,,
NSE,D,35040,OPTIDX,0,NIFTYNXT50-Apr2026-82400-CE,25.0,NIFTYNXT50 28 APR 82400 CALL,2026-04-28 14:30:00,82400.0,CE,5.0,M,OP,,
NSE,D,35041,OPTIDX,0,NIFTYNXT50-Apr2026-82400-PE,25.0,NIFTYNXT50 28 APR 82400 PUT,2026-04-28 14:30:00,82400.0,PE,5.0,M,OP,,
NSE,D,35042,OPTIDX,0,NIFTYNXT50-May2026-81900-CE,25.0,NIFTYNXT50 26 MAY 81900 CALL,2026-05-26 14:30:00,81900.0,CE,5.0,M,OP,,
NSE,D,35043,OPTIDX,0,NIFTYNXT50-May2026-81900-PE,25.0,NIFTYNXT50 26 MAY 81900 PUT,2026-05-26 14:30:00,81900.0,PE,5.0,M,OP,,
NSE,D,35044,OPTIDX,0,BANKNIFTY-Jun2026-66100-CE,30.0,BANKNIFTY 30 JUN 66100 CALL,2026-06-30 14:30:00,66100.0,CE,5.0,M,OP,,
NSE,D,35045,OPTIDX,0,BANKNIFTY-Jun2026-66100-PE,30.0,BANKNIFTY 30 JUN 66100 PUT,2026-06-30 14:30:00,66100.0,PE,5.0,M,OP,,
NSE,D,35046,OPTIDX,0,NIFTYNXT50-May2026-82100-CE,25.0,NIFTYNXT50 26 MAY 82100 CALL,2026-05-26 14:30:00,82100.0,CE,5.0,M,OP,,
NSE,D,35047,OPTIDX,0,NIFTYNXT50-May2026-82100-PE,25.0,NIFTYNXT50 26 MAY 82100 PUT,2026-05-26 14:30:00,82100.0,PE,5.0,M,OP,,
NSE,D,35048,OPTIDX,0,BANKNIFTY-Jun2026-66200-CE,30.0,BANKNIFTY 30 JUN 66200 CALL,2026-06-30 14:30:00,66200.0,CE,5.0,M,OP,,
